name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Dzire,Maruti,2016,"4,50,000",2500,Diesel
Hyundai Getz,Hyundai,2006,"1,25,000",80000,Petrol
Mercedes Benz C,Mercedes,2006,"5,00,001",15000,Petrol
Maruti Suzuki Alto,Maruti,2005,"95,000",65000,Petrol
Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel
Skoda Fabia,Skoda,2009,"1,10,000",45000,Petrol
Maruti Suzuki Ritz,Maruti,2011,"2,70,000",50000,Petrol
Tata Indica V2,Tata,2009,"1,10,000",30000,Diesel
Toyota Corolla Altis,Toyota,2009,"3,00,000",132000,Petrol
Tata Zest XM,Tata,2018,"2,60,000",27000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,90,000",40000,Diesel
